<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<MA_8>,<MA_16>,<turn 8 5 3 6 0 False>,<turn 8 3 3 6 0 False>,<turn 16 8 8 0 10 False>,<MA_12>,<turn 12 5 3 6 0 False>,<turn 12 3 3 6 0 False>,<turn 8 5 3 6 10.0 False>,<turn 8 3 3 6 10.0 False>,<turn 12 5 3 6 10.0 False>,<turn 12 3 3 6 10.0 False>,<turn 16 5 3 6 10.0 False>,<turn 16 3 3 6 10.0 False>
2008-01-02 04:00:00,100.302,100.4373,100.2707,100.3436,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 08:00:00,100.3436,101.5306,100.2187,101.3224,4818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 12:00:00,101.3224,102.3324,101.2911,102.1866,60252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 16:00:00,102.1866,103.915,102.1554,103.738,130020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 20:00:00,103.738,103.7797,103.0925,103.3424,4880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 00:00:00,103.3424,103.4465,103.2278,103.3736,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 04:00:00,103.3736,103.6339,103.20700000000001,103.2174,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 08:00:00,103.20700000000001,104.09200000000001,103.20700000000001,103.7797,8866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 12:00:00,103.7797,104.0192,102.7072,103.3215,79267.0,102.82551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 16:00:00,103.3215,104.2066,102.499,103.2382,125636.0,103.17057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03 20:00:00,103.2382,103.4152,103.08200000000001,103.2903,1731.0,103.3172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04 00:00:00,103.2903,103.4465,103.2591,103.3632,947.0,103.3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04 04:00:00,103.3632,103.4985,103.2695,103.2903,1017.0,103.36636,0.0,0.0,103.36636,0.0,103.1289,0.0,0.0,0.0,103.36636,0.0,0.0,0.0,0.0
2008-01-04 08:00:00,103.2903,103.4257,102.5614,103.1341,5466.0,103.35566,0.0,0.0,0.0,0.0,103.24317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04 12:00:00,103.1341,103.3319,101.3224,101.71799999999999,67355.0,103.33918,0.0,0.0,0.0,0.0,103.30698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04 16:00:00,101.7076,102.1449,101.1037,101.9471,77091.0,103.28941999999999,0.0,0.0,0.0,0.0,103.30898,0.0,103.30898,0.0,0.0,0.0,103.30898,0.0,0.0
2008-01-04 20:00:00,101.9575,101.9783,101.6556,101.8013,2058.0,102.92933000000001,103.00128000000001,0.0,0.0,0.0,103.06829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07 04:00:00,101.2807,101.541,101.1766,101.3432,1087.0,102.66641,102.91583,0.0,0.0,0.0,102.87219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07 08:00:00,101.3432,101.8638,101.2703,101.5931,4671.0,102.30372,102.73859,0.0,0.0,0.0,102.5948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07 12:00:00,101.5931,102.4365,99.0212,99.3648,84263.0,102.0116,102.56181,0.0,0.0,0.0,102.35345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07 16:00:00,99.3648,99.5627,98.3653,99.0837,97781.0,101.82765,102.41428,0.0,0.0,0.0,102.17657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07 20:00:00,99.0837,99.5314,99.0629,99.2607,2570.0,101.19566999999999,102.00896,0.0,0.0,0.0,101.67758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08 00:00:00,99.2711,99.5731,99.2503,99.5314,1198.0,100.61229,101.60271999999999,0.0,0.0,0.0,101.19193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08 04:00:00,99.5314,99.7709,99.4377,99.646,1488.0,100.1874,101.24985,0.0,0.0,0.0,100.78945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08 08:00:00,99.646,100.3228,99.2295,100.2082,9288.0,99.92766999999999,100.95776,0.0,0.0,0.0,100.47788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08 12:00:00,100.1874,101.18700000000001,100.0521,100.7601,98662.0,99.75385,100.70619,-99.75385,-99.75385,0.0,100.23213,0.0,0.0,-99.75385,-99.75385,0.0,0.0,0.0,0.0
2008-01-08 16:00:00,100.7601,101.541,100.2082,100.656,143392.0,99.76455,100.5487,0.0,0.0,0.0,100.11732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08 20:00:00,100.656,100.6664,99.9688,100.1249,5783.0,99.93288000000001,100.48163000000001,0.0,0.0,0.0,100.13041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09 00:00:00,100.1249,100.833,100.0208,100.5831,2265.0,100.09428,100.42054,0.0,0.0,0.0,100.15791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09 04:00:00,100.6247,100.9579,100.531,100.7913,947.0,100.16369,100.31634,0.0,0.0,0.0,100.11719,-100.11719,-100.11719,0.0,0.0,-100.11719,-100.11719,0.0,0.0
2008-01-09 08:00:00,100.7913,101.1766,100.479,100.9683,5784.0,100.32305,100.29474,0.0,0.0,0.0,100.17686,0.0,0.0,0.0,0.0,0.0,0.0,-100.29474,-100.29474
2008-01-09 12:00:00,100.9683,101.1037,99.3753,100.9788,107099.0,100.47663,100.31235,0.0,0.0,0.0,100.27057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09 16:00:00,100.9788,101.9992,99.344,99.6252,198231.0,100.62731,100.36801,0.0,0.0,0.0,100.39858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09 20:00:00,99.6252,99.8646,99.3128,99.4377,5678.0,100.74042,100.43033,100.74042,100.74042,0.0,100.53622,100.53622,100.53622,100.74042,100.74042,100.53622,100.53622,100.43033,100.43033
2008-01-10 00:00:00,99.4377,100.0,99.4065,99.7709,1748.0,100.5157,100.34061,0.0,0.0,0.0,100.44492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10 04:00:00,99.7605,99.9584,99.4377,99.4377,1093.0,100.26493,100.241,0.0,0.0,0.0,100.31783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10 08:00:00,99.4377,100.177,98.5527,99.0941,10735.0,100.12262,100.19338,0.0,0.0,0.0,100.23827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10 12:00:00,99.0941,99.167,97.1678,97.4906,119152.0,99.93346,100.12125999999999,0.0,0.0,0.0,100.10611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10 16:00:00,97.4906,98.7089,97.1054,97.8446,153038.0,99.68704,100.00818000000001,0.0,0.0,0.0,99.92376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10 20:00:00,97.8342,98.2091,97.7613,98.0633,3778.0,99.12679,99.70636999999999,0.0,0.0,0.0,99.50873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 00:00:00,98.0841,98.459,98.0633,98.2091,1310.0,98.73459,99.45808000000001,0.0,0.0,0.0,99.18848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 04:00:00,98.2091,98.5006,98.0633,98.0841,1138.0,98.48498000000001,99.25166999999999,0.0,0.0,0.0,98.94286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 08:00:00,98.0945,98.5423,96.6056,96.79299999999999,10740.0,98.34355,99.07145,0.0,0.0,0.0,98.74263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 12:00:00,96.7722,97.7509,96.4077,97.5115,104748.0,98.21600000000001,98.89229,0.0,0.0,0.0,98.55574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 16:00:00,97.5115,97.5219,96.1162,96.5639,137548.0,97.83191,98.57717,0.0,0.0,0.0,98.19999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 20:00:00,96.5639,96.7618,96.439,96.6889,3160.0,97.69511999999999,98.37758000000001,0.0,0.0,0.0,98.01177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14 04:00:00,96.4598,97.0637,96.439,96.8242,1569.0,97.40125,98.08573,0.0,0.0,0.0,97.72223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14 08:00:00,96.8034,97.1054,96.3453,96.8763,7164.0,97.15454,97.81149,0.0,0.0,0.0,97.45591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14 12:00:00,96.8763,98.2611,96.8763,97.501,83674.0,97.01281,97.60951999999999,0.0,0.0,0.0,97.28064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14 16:00:00,97.4906,98.2195,97.1574,98.2091,135653.0,96.91592,97.44675,-96.91592,-96.91592,0.0,97.15449,-97.15449,-97.15449,-96.91592,-96.91592,-97.15449,-97.15449,0.0,0.0
2008-01-14 20:00:00,98.2091,98.2716,97.9384,98.0945,4043.0,96.98909,97.38642,0.0,0.0,0.0,97.15569,0.0,0.0,0.0,0.0,0.0,0.0,-97.38642,-97.38642
2008-01-15 00:00:00,98.0841,98.2195,97.98,98.0737,988.0,97.24189,97.42631,0.0,0.0,0.0,97.28798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15 04:00:00,98.0737,98.0841,97.7301,97.7822,677.0,97.46372,97.46053,0.0,0.0,0.0,97.39184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15 08:00:00,97.7822,98.2507,97.4073,97.9279,6607.0,97.6468,97.50585,0.0,0.0,0.0,97.49089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15 12:00:00,97.9279,98.0633,95.1895,95.5227,130916.0,97.74949000000001,97.52691,0.0,0.0,0.0,97.54522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15 16:00:00,95.5227,95.9913,94.7209,95.5435,134959.0,97.85070999999999,97.57476,97.85070999999999,97.85070999999999,0.0,97.62745,97.62745,97.62745,97.85070999999999,97.85070999999999,97.62745,97.62745,97.57476,97.57476
2008-01-15 20:00:00,95.5435,95.9808,95.2103,95.4602,6694.0,97.37666,97.33643000000001,0.0,0.0,0.0,97.34178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16 00:00:00,95.4602,95.6789,95.3353,95.6476,1397.0,96.94281,97.11754,0.0,0.0,0.0,97.07532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16 04:00:00,95.6476,95.6581,94.898,95.0333,2041.0,96.52747,96.90753000000001,0.0,0.0,0.0,96.82129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16 08:00:00,95.0333,95.0541,94.3253,94.4398,7430.0,96.21018000000001,96.73978000000001,0.0,0.0,0.0,96.61023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
